id,nombre,costo_unitario,iva
1,Perfume,295452,56135.88
2,Reloj inteligente,223655,42494.45
3,Refrigerador,152694,29011.86
4,Gafas de sol,577579,109740.01
5,Vestido de noche,88213,16760.47
6,Zapatos deportivos,799143,151837.17
7,Perfume,581910,110562.90
8,Tableta,156501,29735.19
9,Bicicleta de montaña,171604,32604.76
10,Juego de sartenes,375959,71432.21
11,Juego de sartenes,412958,78462.02
12,Bicicleta de montaña,658048,125029.12
13,Altavoz Bluetooth,297648,56553.12
14,Juego de sartenes,424174,80593.06
15,Vestido de noche,241817,45945.23
16,Cafetera,781806,148543.14
17,Reloj inteligente,655629,124569.51
18,Laptop,704665,133886.35
19,Máquina de ejercicio,172769,32826.11
20,Refrigerador,112996,21469.24
21,Bicicleta de montaña,720688,136930.72
22,Cámara digital,257336,48893.84
23,Altavoz Bluetooth,138953,26401.07
24,Cámara digital,188659,35845.21
25,Reloj inteligente,625197,118787.43
26,Impresora láser,551545,104793.55
27,Altavoz Bluetooth,616946,117219.74
28,Perfume,188506,35816.14
29,Licuadora,191881,36457.39
30,Cafetera,548986,104307.34
31,Licuadora,227286,43184.34
32,Smartphone,767918,145904.42
33,Tableta,325789,61899.91
34,Maleta de viaje,659927,125386.13
35,Reloj inteligente,346296,65796.24
36,Laptop,389272,73961.68
37,Televisor LED,353383,67142.77
38,Licuadora,440255,83648.45
39,Reloj inteligente,799558,151916.02
40,Impresora láser,374448,71145.12
41,Smartphone,544851,103521.69
42,Impresora láser,578875,109986.25
43,Zapatos deportivos,692547,131583.93
44,Juego de sartenes,728236,138364.84
45,Licuadora,520720,98936.80
46,Altavoz Bluetooth,761400,144666.00
47,Smartphone,279960,53192.40
48,Reloj inteligente,250600,47614.00
49,Refrigerador,577050,109639.50
50,Juego de sartenes,643585,122281.15
51,Licuadora,225898,42920.62
52,Vestido de noche,237761,45174.59
53,Bicicleta de montaña,630538,119802.22
54,Laptop,198601,37734.19
55,Altavoz Bluetooth,192671,36607.49
56,Smartphone,255253,48498.07
57,Impresora láser,324896,61730.24
58,Gafas de sol,72661,13805.59
59,Zapatos deportivos,287912,54703.28
60,Refrigerador,208198,39557.62
61,Televisor LED,307486,58422.34
62,Televisor LED,697431,132511.89
63,Vestido de noche,766933,145717.27
64,Bicicleta de montaña,600508,114096.52
65,Perfume,738998,140409.62
66,Cafetera,158825,30176.75
67,Bicicleta de montaña,388302,73777.38
68,Gafas de sol,637776,121177.44
69,Cámara digital,304872,57925.68
70,Juego de sartenes,169933,32287.27
71,Perfume,727209,138169.71
72,Juego de sartenes,722653,137304.07
73,Cámara digital,561305,106647.95
74,Laptop,141309,26848.71
75,Zapatos deportivos,284856,54122.64
76,Licuadora,553864,105234.16
77,Cafetera,194593,36972.67
78,Maleta de viaje,486488,92432.72
79,Cámara digital,379000,72010.00
80,Altavoz Bluetooth,196085,37256.15
81,Refrigerador,215361,40918.59
82,Vestido de noche,115421,21929.99
83,Reloj inteligente,367046,69738.74
84,Cámara digital,582143,110607.17
85,Zapatos deportivos,578713,109955.47
86,Cafetera,502992,95568.48
87,Cafetera,443617,84287.23
88,Gafas de sol,246448,46825.12
89,Altavoz Bluetooth,116199,22077.81
90,Altavoz Bluetooth,242889,46148.91
91,Auriculares inalámbricos,772963,146862.97
92,Smartphone,502563,95486.97
93,Perfume,761612,144706.28
94,Auriculares inalámbricos,739473,140499.87
95,Reloj inteligente,570600,108414.00
96,Maleta de viaje,185161,35180.59
97,Tableta,114541,21762.79
98,Perfume,457328,86892.32
99,Bicicleta de montaña,555775,105597.25
100,Perfume,239442,45493.98
101,Maleta de viaje,513271,97521.49
102,Smartphone,366915,69713.85
103,Cafetera,251720,47826.80
104,Juego de sartenes,601303,114247.57
105,Smartphone,514870,97825.30
106,Smartphone,199722,37947.18
107,Cámara digital,162026,30784.94
108,Juego de sartenes,118352,22486.88
109,Impresora láser,204279,38813.01
110,Bicicleta de montaña,150746,28641.74
111,Televisor LED,149439,28393.41
112,Auriculares inalámbricos,589240,111955.60
113,Altavoz Bluetooth,530836,100858.84
114,Cámara digital,491444,93374.36
115,Maleta de viaje,652247,123926.93
116,Bicicleta de montaña,550137,104526.03
117,Impresora láser,780469,148289.11
118,Bicicleta de montaña,438500,83315.00
119,Impresora láser,441389,83863.91
120,Altavoz Bluetooth,308770,58666.30
121,Altavoz Bluetooth,256794,48790.86
122,Tableta,552444,104964.36
123,Laptop,549459,104397.21
124,Altavoz Bluetooth,185780,35298.20
125,Laptop,535680,101779.20
126,Televisor LED,180054,34210.26
127,Laptop,780504,148295.76
128,Juego de sartenes,176082,33455.58
129,Cafetera,705502,134045.38
130,Bicicleta de montaña,372349,70746.31
131,Perfume,456477,86730.63
132,Zapatos deportivos,278424,52900.56
133,Reloj inteligente,131670,25017.30
134,Vestido de noche,614969,116844.11
135,Vestido de noche,480247,91246.93
136,Tableta,549044,104318.36
137,Cafetera,496837,94399.03
138,Gafas de sol,655006,124451.14
139,Refrigerador,613690,116601.10
140,Refrigerador,374402,71136.38
141,Smartphone,356061,67651.59
142,Licuadora,732873,139245.87
143,Reloj inteligente,583192,110806.48
144,Laptop,775805,147402.95
145,Altavoz Bluetooth,376337,71504.03
146,Bicicleta de montaña,446111,84761.09
147,Gafas de sol,284161,53990.59
148,Bicicleta de montaña,290029,55105.51
149,Reloj inteligente,571411,108568.09
150,Smartphone,162882,30947.58
151,Cámara digital,172384,32752.96
152,Gafas de sol,774651,147183.69
153,Impresora láser,123887,23538.53
154,Auriculares inalámbricos,714600,135774.00
155,Televisor LED,325198,61787.62
156,Gafas de sol,119059,22621.21
157,Juego de sartenes,576723,109577.37
158,Licuadora,712375,135351.25
159,Vestido de noche,178391,33894.29
160,Zapatos deportivos,348101,66139.19
161,Auriculares inalámbricos,244100,46379.00
162,Perfume,414073,78673.87
163,Vestido de noche,119658,22735.02
164,Altavoz Bluetooth,732426,139160.94
165,Zapatos deportivos,181661,34515.59
166,Juego de sartenes,701037,133197.03
167,Televisor LED,771208,146529.52
168,Smartphone,125887,23918.53
169,Juego de sartenes,204618,38877.42
170,Reloj inteligente,661899,125760.81
171,Televisor LED,596531,113340.89
172,Laptop,329027,62515.13
173,Auriculares inalámbricos,206681,39269.39
174,Tableta,552741,105020.79
175,Tableta,90216,17141.04
176,Perfume,290950,55280.50
177,Auriculares inalámbricos,392190,74516.10
178,Vestido de noche,98489,18712.91
179,Auriculares inalámbricos,502164,95411.16
180,Máquina de ejercicio,279238,53055.22
181,Refrigerador,648046,123128.74
182,Vestido de noche,541162,102820.78
183,Altavoz Bluetooth,498466,94708.54
184,Gafas de sol,128854,24482.26
185,Licuadora,712859,135443.21
186,Reloj inteligente,310308,58958.52
187,Televisor LED,617434,117312.46
188,Televisor LED,624023,118564.37
189,Impresora láser,606950,115320.50
190,Zapatos deportivos,279235,53054.65
191,Zapatos deportivos,731426,138970.94
192,Máquina de ejercicio,155762,29594.78
193,Bicicleta de montaña,705042,133957.98
194,Bicicleta de montaña,440147,83627.93
195,Televisor LED,294112,55881.28
196,Zapatos deportivos,333299,63326.81
197,Laptop,543543,103273.17
198,Cafetera,715379,135922.01
199,Vestido de noche,114609,21775.71
200,Cámara digital,451128,85714.32
201,Refrigerador,176147,33467.93
202,Gafas de sol,703486,133662.34
203,Juego de sartenes,81740,15530.60
204,Reloj inteligente,103607,19685.33
205,Tableta,765521,145448.99
206,Auriculares inalámbricos,286063,54351.97
207,Reloj inteligente,711576,135199.44
208,Auriculares inalámbricos,574425,109140.75
209,Laptop,364140,69186.60
210,Bicicleta de montaña,82904,15751.76
211,Bicicleta de montaña,726274,137992.06
212,Zapatos deportivos,648140,123146.60
213,Zapatos deportivos,583381,110842.39
214,Zapatos deportivos,558322,106081.18
215,Smartphone,83331,15832.89
216,Smartphone,242379,46052.01
217,Bicicleta de montaña,229325,43571.75
218,Auriculares inalámbricos,198923,37795.37
219,Televisor LED,593620,112787.80
220,Reloj inteligente,612273,116331.87
221,Tableta,716942,136218.98
222,Refrigerador,638898,121390.62
223,Vestido de noche,163419,31049.61
224,Tableta,466207,88579.33
225,Gafas de sol,573755,109013.45
226,Altavoz Bluetooth,737423,140110.37
227,Tableta,640565,121707.35
228,Juego de sartenes,427985,81317.15
229,Refrigerador,489063,92921.97
230,Auriculares inalámbricos,736016,139843.04
231,Laptop,303236,57614.84
232,Smartphone,572948,108860.12
233,Altavoz Bluetooth,668169,126952.11
234,Altavoz Bluetooth,728629,138439.51
235,Vestido de noche,83564,15877.16
236,Televisor LED,490695,93232.05
237,Juego de sartenes,366528,69640.32
238,Cafetera,730127,138724.13
239,Cámara digital,738755,140363.45
240,Tableta,704403,133836.57
241,Juego de sartenes,696324,132301.56
242,Juego de sartenes,249863,47473.97
243,Refrigerador,136218,25881.42
244,Vestido de noche,251415,47768.85
245,Smartphone,629676,119638.44
246,Reloj inteligente,667097,126748.43
247,Cafetera,495144,94077.36
248,Tableta,744782,141508.58
249,Laptop,760401,144476.19
250,Altavoz Bluetooth,579428,110091.32
251,Zapatos deportivos,422725,80317.75
252,Altavoz Bluetooth,652625,123998.75
253,Licuadora,156804,29792.76
254,Tableta,172349,32746.31
255,Juego de sartenes,270700,51433.00
256,Smartphone,56204,10678.76
257,Cámara digital,137664,26156.16
258,Vestido de noche,246551,46844.69
259,Vestido de noche,227418,43209.42
260,Vestido de noche,160777,30547.63
261,Tableta,220154,41829.26
262,Impresora láser,302918,57554.42
263,Máquina de ejercicio,788961,149902.59
264,Juego de sartenes,608230,115563.70
265,Cafetera,640419,121679.61
266,Impresora láser,393307,74728.33
267,Licuadora,645741,122690.79
268,Licuadora,582178,110613.82
269,Zapatos deportivos,427218,81171.42
270,Zapatos deportivos,524036,99566.84
271,Refrigerador,677815,128784.85
272,Perfume,283589,53881.91
273,Bicicleta de montaña,581034,110396.46
274,Juego de sartenes,733264,139320.16
275,Vestido de noche,151094,28707.86
276,Cámara digital,651397,123765.43
277,Auriculares inalámbricos,314934,59837.46
278,Juego de sartenes,582620,110697.80
279,Juego de sartenes,152204,28918.76
280,Cámara digital,327138,62156.22
281,Refrigerador,633698,120402.62
282,Juego de sartenes,412414,78358.66
283,Reloj inteligente,484256,92008.64
284,Televisor LED,786128,149364.32
285,Máquina de ejercicio,208154,39549.26
286,Máquina de ejercicio,769011,146112.09
287,Smartphone,545724,103687.56
288,Juego de sartenes,622312,118239.28
289,Altavoz Bluetooth,304172,57792.68
290,Licuadora,652048,123889.12
291,Juego de sartenes,500965,95183.35
292,Cámara digital,748315,142179.85
293,Altavoz Bluetooth,258496,49114.24
294,Cámara digital,741500,140885.00
295,Laptop,434575,82569.25
296,Cámara digital,321082,61005.58
297,Cafetera,502467,95468.73
298,Refrigerador,583223,110812.37
299,Zapatos deportivos,352456,66966.64
300,Cafetera,549635,104430.65
301,Zapatos deportivos,569158,108140.02
302,Juego de sartenes,733307,139328.33
303,Refrigerador,704371,133830.49
304,Bicicleta de montaña,616493,117133.67
305,Maleta de viaje,746851,141901.69
306,Cámara digital,414820,78815.80
307,Cámara digital,123113,23391.47
308,Refrigerador,534223,101502.37
309,Altavoz Bluetooth,60888,11568.72
310,Auriculares inalámbricos,521753,99133.07
311,Altavoz Bluetooth,200088,38016.72
312,Maleta de viaje,495593,94162.67
313,Refrigerador,196973,37424.87
314,Smartphone,280865,53364.35
315,Altavoz Bluetooth,225837,42909.03
316,Impresora láser,572283,108733.77
317,Bicicleta de montaña,553226,105112.94
318,Altavoz Bluetooth,151788,28839.72
319,Perfume,704178,133793.82
320,Reloj inteligente,116243,22086.17
321,Zapatos deportivos,194807,37013.33
322,Impresora láser,593496,112764.24
323,Impresora láser,581835,110548.65
324,Cámara digital,117292,22285.48
325,Maleta de viaje,258199,49057.81
326,Maleta de viaje,779416,148089.04
327,Televisor LED,651698,123822.62
328,Zapatos deportivos,346039,65747.41
329,Tableta,759433,144292.27
330,Vestido de noche,222248,42227.12
331,Licuadora,507733,96469.27
332,Maleta de viaje,651775,123837.25
333,Laptop,404665,76886.35
334,Televisor LED,407525,77429.75
335,Refrigerador,75076,14264.44
336,Vestido de noche,730345,138765.55
337,Juego de sartenes,299743,56951.17
338,Altavoz Bluetooth,672628,127799.32
339,Cámara digital,363042,68977.98
340,Laptop,443438,84253.22
341,Reloj inteligente,760357,144467.83
342,Tableta,166659,31665.21
343,Laptop,82877,15746.63
344,Maleta de viaje,341690,64921.10
345,Tableta,335565,63757.35
346,Maleta de viaje,629538,119612.22
347,Smartphone,616114,117061.66
348,Impresora láser,588690,111851.10
349,Perfume,484324,92021.56
350,Bicicleta de montaña,315259,59899.21
351,Zapatos deportivos,261493,49683.67
352,Cámara digital,461952,87770.88
353,Juego de sartenes,98338,18684.22
354,Tableta,667912,126903.28
355,Refrigerador,682133,129605.27
356,Reloj inteligente,718657,136544.83
357,Maleta de viaje,662169,125812.11
358,Gafas de sol,784896,149130.24
359,Vestido de noche,165857,31512.83
360,Auriculares inalámbricos,83720,15906.80
361,Licuadora,517385,98303.15
362,Refrigerador,415706,78984.14
363,Reloj inteligente,264526,50259.94
364,Altavoz Bluetooth,346437,65823.03
365,Juego de sartenes,772279,146733.01
366,Altavoz Bluetooth,627628,119249.32
367,Laptop,508733,96659.27
368,Maleta de viaje,303612,57686.28
369,Cámara digital,759193,144246.67
370,Altavoz Bluetooth,51804,9842.76
371,Juego de sartenes,384785,73109.15
372,Vestido de noche,722844,137340.36
373,Gafas de sol,411112,78111.28
374,Gafas de sol,253089,48086.91
375,Vestido de noche,671603,127604.57
376,Gafas de sol,123799,23521.81
377,Auriculares inalámbricos,300205,57038.95
378,Reloj inteligente,661205,125628.95
379,Altavoz Bluetooth,771977,146675.63
380,Tableta,136246,25886.74
381,Refrigerador,723458,137457.02
382,Bicicleta de montaña,719349,136676.31
383,Juego de sartenes,521838,99149.22
384,Cámara digital,684038,129967.22
385,Vestido de noche,550209,104539.71
386,Smartphone,302875,57546.25
387,Impresora láser,788223,149762.37
388,Refrigerador,591634,112410.46
389,Auriculares inalámbricos,612710,116414.90
390,Televisor LED,110361,20968.59
391,Cafetera,567716,107866.04
392,Reloj inteligente,171416,32569.04
393,Smartphone,663578,126079.82
394,Maleta de viaje,464379,88232.01
395,Refrigerador,431596,82003.24
396,Vestido de noche,798220,151661.80
397,Impresora láser,141548,26894.12
398,Reloj inteligente,209727,39848.13
399,Cámara digital,186284,35393.96
400,Licuadora,673976,128055.44
401,Cámara digital,167588,31841.72
402,Refrigerador,598815,113774.85
403,Reloj inteligente,476439,90523.41
404,Licuadora,449081,85325.39
405,Tableta,229479,43601.01
406,Maleta de viaje,161519,30688.61
407,Impresora láser,787430,149611.70
408,Altavoz Bluetooth,612509,116376.71
409,Licuadora,794141,150886.79
410,Juego de sartenes,83324,15831.56
411,Licuadora,167135,31755.65
412,Auriculares inalámbricos,769610,146225.90
413,Gafas de sol,507673,96457.87
414,Perfume,290063,55111.97
415,Impresora láser,782800,148732.00
416,Máquina de ejercicio,782747,148721.93
417,Licuadora,124473,23649.87
418,Zapatos deportivos,654163,124290.97
419,Impresora láser,126679,24069.01
420,Juego de sartenes,60314,11459.66
421,Tableta,746407,141817.33
422,Impresora láser,138131,26244.89
423,Perfume,408998,77709.62
424,Laptop,278934,52997.46
425,Juego de sartenes,432705,82213.95
426,Refrigerador,399270,75861.30
427,Refrigerador,412104,78299.76
428,Perfume,788201,149758.19
429,Tableta,231786,44039.34
430,Zapatos deportivos,521452,99075.88
431,Auriculares inalámbricos,482142,91606.98
432,Televisor LED,358951,68200.69
433,Impresora láser,685318,130210.42
434,Impresora láser,643360,122238.40
435,Cafetera,203493,38663.67
436,Perfume,130266,24750.54
437,Maleta de viaje,87856,16692.64
438,Juego de sartenes,436134,82865.46
439,Licuadora,304141,57786.79
440,Cámara digital,212242,40325.98
441,Juego de sartenes,181916,34564.04
442,Máquina de ejercicio,621974,118175.06
443,Smartphone,506465,96228.35
444,Máquina de ejercicio,309386,58783.34
445,Impresora láser,293455,55756.45
446,Tableta,528912,100493.28
447,Reloj inteligente,431447,81974.93
448,Juego de sartenes,184900,35131.00
449,Gafas de sol,694647,131982.93
450,Maleta de viaje,126573,24048.87
451,Licuadora,400732,76139.08
452,Reloj inteligente,617312,117289.28
453,Tableta,240753,45743.07
454,Impresora láser,653676,124198.44
455,Gafas de sol,730769,138846.11
456,Perfume,723091,137387.29
457,Gafas de sol,69069,13123.11
458,Televisor LED,630075,119714.25
459,Reloj inteligente,575207,109289.33
460,Gafas de sol,170418,32379.42
461,Smartphone,727426,138210.94
462,Juego de sartenes,577029,109635.51
463,Bicicleta de montaña,245347,46615.93
464,Smartphone,208340,39584.60
465,Auriculares inalámbricos,313995,59659.05
466,Vestido de noche,95655,18174.45
